,HCO3,pH,TDS,Ca,Mg,Precipitation
270,460.55,7.91,380.5,0.81,0.48,0
271,459.03,7.86,376.4,1.4,0.6,0
272,439.2,7.81,367.45,1.21,0.72,1
273,439.2,7.56,369.75,1.01,0.48,1
274,436.15,7.92,366.4,0.81,0.48,0
275,439.2,7.73,374.8,1.0,0.48,0
276,436.15,7.92,366.4,0.8,0.36,0
277,433.1,7.63,367.5,0.84,0.78,0
278,437.68,7.53,370.4,1.2,0.48,0
279,437.68,7.81,373.4,1.2,0.6,0
280,454.45,7.71,374.65,1.0,0.42,1
281,452.93,7.56,377.55,1.0,0.36,0
282,433.1,7.66,366.0,1.4,0.6,0
283,451.4,7.65,376.8,1.8,0.6,0
284,452.93,7.83,375.35,0.9,0.42,0
285,457.5,7.74,377.6,1.2,0.6,0
286,457.5,7.84,378.7,1.4,0.84,0
287,457.5,7.79,378.6,0.8,0.36,0
288,443.78,7.8,371.0,1.2,0.72,0
289,460.55,7.85,376.5,1.0,0.48,0
290,457.5,7.83,376.7,0.6,0.36,1
291,457.5,7.9,373.35,0.8,0.48,1
292,451.4,7.6,376.55,1.8,0.72,0
293,457.5,7.55,383.8,1.8,0.84,1
294,455.98,7.88,384.5,0.8,0.42,1
295,457.5,7.6,378.85,1.4,0.84,0
296,448.35,7.85,373.25,1.6,0.9,0
297,439.2,7.5,368.8,0.8,0.42,0
298,448.35,7.77,373.1,0.8,0.48,0
299,460.55,7.58,382.8,0.7,0.3,0
300,462.08,7.85,373.25,0.7,0.3,0
301,454.45,7.75,376.35,0.8,0.36,0
302,457.5,7.78,381.25,0.8,0.36,0
303,455.98,7.57,381.75,0.8,0.36,0
304,457.5,7.5,383.05,1.2,0.72,0
305,449.88,7.79,380.45,0.9,0.42,0
306,459.03,7.78,380.1,0.8,0.36,0
307,451.4,7.5,369.2,1.4,0.84,0
308,445.01820123031877,7.68976148390675,379.65883240212054,1.0762733036090504,0.47735652501053416,1
309,446.53460094191405,7.769307127979471,376.79653563989734,0.9613857440410571,0.46455429761642286,1
310,451.4,7.97182879324124,378.8704280168969,0.8056809338965634,0.4118287932412403,1
311,451.40376191065366,8.004947228978681,383.57493911036,1.0999188138133558,0.5698782207200336,1
312,453.85276864598796,7.935665084695397,381.11748813521547,0.7370694910847226,0.5387440676077383,1
313,456.3759063106784,7.8670194652236605,384.11058395670983,0.8765851551804036,0.45764355085138475,1
314,442.25,7.788141637396298,371.9058880344117,1.003403778606842,0.685446045770947,1
315,445.49363333569755,7.727593464145001,373.49750762279996,1.1126557735750027,0.6220326792749921,1
316,458.6012245840565,7.822778855186515,377.62069596371936,0.8166343444045601,0.533307475523648,1
317,449.07179297102624,7.6664119944109075,374.6867118546836,1.0471760111781847,0.47661121341382157,1
318,448.9730613917515,7.892256945411505,378.4204282423525,1.126244206354716,0.67097221835398,1
319,437.2560201774566,7.7781314783189615,367.8642907818535,1.0761522089396376,0.5670310959310145,1
320,439.2,7.558364198520431,369.7561342555484,1.0181790073978432,0.48,1
321,443.1983696532222,7.7373129043890705,372.55,0.8932822609726753,0.4159693565836051,1
322,445.0563238665922,7.801221927196412,370.26872046502496,1.103812052602185,0.561524821040874,1
323,445.3,7.868105176717785,371.26684059256127,0.6142111746166119,0.36568446984664477,1
324,455.29847002109835,7.894064235162931,381.092627731561,0.7463518158663168,0.5226087565180416,1
325,445.3,7.799926489513868,374.01082523699836,1.455228842283859,0.66,1
326,451.4,7.94,379.0188776432909,1.1459184288606186,0.48,1
327,439.2,7.6034619880260275,369.48922807184385,1.008261520478959,0.4591382457475066,1
328,445.3,7.76,373.80625078475373,0.8589287956439224,0.39535727738635346,1
329,451.4,7.94,378.51495204635137,0.8099680309009017,0.48,1
330,452.686016374211,7.581893284416858,380.0159466422084,1.2,0.72,1
331,451.8847891070303,8.022179893785701,382.2495540322955,1.2683144374489996,0.7609886624693998,1
332,449.5221911016602,7.651693101252935,374.30402063257634,1.0766137974941297,0.5119365569929555,1
333,451.4,7.943085494272703,378.9422862643182,0.8080762088106082,0.383085494272703,1
334,449.6538501530771,7.682865003665128,373.9556568927602,1.1147810357465961,0.54,1
335,457.5,7.875670328204546,374.51434857878246,0.7304866520129872,0.43829199120779233,1
336,433.775787833332,7.72,368.5459198801712,1.2835712167760343,0.6474925816996128,1
337,457.19649885306825,7.615891696373339,383.9397702650344,1.6003281928080626,0.7561378409793862,1
338,439.2,7.676361982434995,370.6642727191321,1.004458953217381,0.41350743860857425,1
339,439.2,7.5573191613050215,369.76005314510616,1.0234041934748903,0.48,1
